Date,Open,High,Low,Close,Adj Close,Volume
2024-03-13,16220.110352,16233.299805,16143.339844,16177.769531,16177.769531,4839000000
2024-03-14,16209.190430,16245.320313,16039.679688,16128.530273,16128.530273,5450980000
2024-03-15,16043.580078,16055.330078,15925.910156,15973.169922,15973.169922,8261950000
2024-03-18,16154.919922,16247.589844,16094.169922,16103.450195,16103.450195,5025040000
2024-03-19,16031.929688,16175.589844,15951.860352,16166.790039,16166.790039,4758740000
2024-03-20,16185.759766,16377.440430,16127.480469,16369.410156,16369.410156,5298380000
2024-03-21,16517.240234,16538.859375,16393.900391,16401.839844,16401.839844,5134740000
2024-03-22,16387.830078,16467.619141,16361.000000,16428.820313,16428.820313,4339930000
2024-03-25,16335.299805,16441.169922,16315.719727,16384.470703,16384.470703,4636940000
2024-03-26,16446.849609,16476.380859,16312.950195,16315.700195,16315.700195,5144260000
2024-03-27,16424.759766,16431.820313,16279.169922,16399.519531,16399.519531,4768930000
2024-03-28,16377.230469,16420.919922,16347.379883,16379.459961,16379.459961,5174450000
2024-04-01,16397.050781,16490.650391,16327.889648,16396.830078,16396.830078,4798390000
2024-04-02,16199.240234,16251.410156,16137.240234,16240.450195,16240.450195,4710280000
2024-04-03,16178.799805,16340.740234,16169.309570,16277.459961,16277.459961,5151500000
2024-04-04,16418.570313,16468.039063,16046.559570,16049.080078,16049.080078,5368700000
2024-04-05,16095.400391,16326.500000,16080.480469,16248.519531,16248.519531,4578130000
2024-04-08,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000
2024-04-09,16328.759766,16348.179688,16141.150391,16306.639648,16306.639648,4869190000
2024-04-10,16104.009766,16200.099609,16092.019531,16170.360352,16170.360352,5308250000
2024-04-11,16236.200195,16464.599609,16154.650391,16442.199219,16442.199219,4714750000
2024-04-12,16293.030273,16341.459961,16125.330078,16175.089844,16175.089844,4552740000
2024-04-15,16276.469727,16295.269531,15863.879883,15885.019531,15885.019531,4910550000
2024-04-16,15856.379883,15965.790039,15822.019531,15865.250000,15865.250000,5001860000
2024-04-17,15942.290039,15957.030273,15654.509766,15683.370117,15683.370117,4991470000
2024-04-18,15705.690430,15786.120117,15587.500000,15601.500000,15601.500000,4932540000
2024-04-19,15547.099609,15576.700195,15222.780273,15282.009766,15282.009766,5316010000
2024-04-22,15396.129883,15539.000000,15265.660156,15451.309570,15451.309570,4616730000
2024-04-23,15525.549805,15730.349609,15510.589844,15696.639648,15696.639648,4951670000
2024-04-24,15805.599609,15839.000000,15634.440430,15712.750000,15712.750000,4735870000
2024-04-25,15375.259766,15644.509766,15343.910156,15611.759766,15611.759766,4743640000
2024-04-26,15821.339844,15981.000000,15770.719727,15927.900391,15927.900391,4694400000
2024-04-29,16007.000000,16021.490234,15885.889648,15983.080078,15983.080078,4972520000
2024-04-30,15920.889648,15979.360352,15655.669922,15657.820313,15657.820313,5229400000
2024-05-01,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2024-05-02,15758.110352,15862.790039,15604.730469,15840.959961,15840.959961,4901610000
2024-05-03,16147.480469,16204.709961,16068.339844,16156.330078,16156.330078,4887310000
2024-05-06,16208.540039,16350.080078,16197.860352,16349.250000,16349.250000,4460130000
2024-05-07,16358.339844,16397.390625,16303.839844,16332.559570,16332.559570,5041870000
2024-05-08,16226.070313,16341.650391,16226.070313,16302.759766,16302.759766,4530190000
2024-05-09,16323.740234,16362.790039,16241.980469,16346.259766,16346.259766,4505120000
2024-05-10,16389.019531,16437.390625,16293.519531,16340.870117,16340.870117,4402110000
2024-05-13,16400.310547,16407.050781,16334.860352,16388.240234,16388.240234,4452750000
2024-05-14,16391.160156,16526.269531,16386.429688,16511.179688,16511.179688,7270240000
2024-05-15,16601.140625,16749.740234,16544.089844,16742.390625,16742.390625,8538990000
2024-05-16,16738.109375,16797.830078,16693.449219,16698.320313,16698.320313,11932600000
2024-05-17,16708.490234,16726.410156,16613.839844,16685.970703,16685.970703,9587280000
2024-05-20,16702.019531,16823.830078,16695.689453,16794.869141,16794.869141,6861320000
2024-05-21,16736.099609,16839.019531,16719.970703,16832.619141,16832.619141,6245090000
2024-05-22,16839.000000,16855.269531,16712.091797,16801.542969,16801.542969,7028972000
